sciname,lat,lon,source
Ctenomys lami,-30.32,-50.95,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.32,-50.93,Mamíferos do Rio Grande do Sul
Ctenomys lami,-30.35,-51.12,Mamíferos do Rio Grande do Sul
Ctenomys lami,-29.90,-50.50,"Mammals of South America, Volume 2, Rodentia"
Ctenomys lami,-30.24,-51.10,"Mammals of South America, Volume 2, Rodentia"
Ctenomys lami,-30.36,-51.03,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-38.85,-63.02,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.79,-55.50,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.18,-58.10,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.30,-57.73,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.93,-54.95,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.84,-54.65,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.78,-55.38,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.88,-56.03,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.62,-54.26,"Mammals of South America, Volume 2, Rodentia"
Ctenomys pearsoni,-34.08,-53.77,"Mammals of South America, Volume 2, Rodentia"
